train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.8M
epoch 112/2000, train: loss=0.0322, val: psnr=29.7865, 1.5m 2.9h/51.2h
epoch 113/2000, train: loss=0.0316, val: psnr=29.9307, 1.5m 2.9h/51.2h
epoch 114/2000, train: loss=0.0323, val: psnr=30.1112, 1.5m 2.9h/51.2h
epoch 115/2000, train: loss=0.0327, val: psnr=30.0947, 1.5m 2.9h/51.2h
epoch 116/2000, train: loss=0.0321, val: psnr=30.2614, 1.5m 3.0h/51.2h
epoch 117/2000, train: loss=0.0327, val: psnr=29.9280, 1.5m 3.0h/51.2h
epoch 118/2000, train: loss=0.0325, val: psnr=29.8807, 1.5m 3.0h/51.2h
epoch 119/2000, train: loss=0.0325, val: psnr=29.9029, 1.6m 3.0h/51.2h
epoch 120/2000, train: loss=0.0324, val: psnr=29.9484, 1.5m 3.1h/51.2h
epoch 121/2000, train: loss=0.0319, val: psnr=30.3372, 1.5m 3.1h/51.2h
epoch 122/2000, train: loss=0.0320, val: psnr=30.0434, 1.5m 3.1h/51.2h
epoch 123/2000, train: loss=0.0325, val: psnr=30.2126, 1.5m 3.1h/51.2h
epoch 124/2000, train: loss=0.0327, val: psnr=30.0094, 1.5m 3.2h/51.2h
epoch 125/2000, train: loss=0.0326, val: psnr=30.1354, 1.6m 3.2h/51.2h
epoch 126/2000, train: loss=0.0327, val: psnr=29.9129, 1.6m 3.2h/51.2h
epoch 127/2000, train: loss=0.0326, val: psnr=30.0833, 1.6m 3.3h/51.2h
epoch 128/2000, train: loss=0.0321, val: psnr=29.5782, 1.5m 3.3h/51.2h
epoch 129/2000, train: loss=0.0322, val: psnr=30.0773, 1.6m 3.3h/51.2h
epoch 130/2000, train: loss=0.0324, val: psnr=29.8890, 1.6m 3.3h/51.2h
epoch 131/2000, train: loss=0.0324, val: psnr=30.2167, 1.6m 3.4h/51.2h
epoch 132/2000, train: loss=0.0321, val: psnr=30.0975, 1.5m 3.4h/51.2h
epoch 133/2000, train: loss=0.0320, val: psnr=29.8529, 1.6m 3.4h/51.2h
epoch 134/2000, train: loss=0.0324, val: psnr=29.4256, 1.5m 3.4h/51.2h
epoch 135/2000, train: loss=0.0323, val: psnr=29.9398, 1.5m 3.5h/51.2h
epoch 136/2000, train: loss=0.0322, val: psnr=29.8050, 1.5m 3.5h/51.2h
epoch 137/2000, train: loss=0.0324, val: psnr=30.0189, 1.5m 3.5h/51.2h
epoch 138/2000, train: loss=0.0326, val: psnr=30.0245, 1.5m 3.5h/51.2h
epoch 139/2000, train: loss=0.0323, val: psnr=29.8849, 1.5m 3.6h/51.2h
epoch 140/2000, train: loss=0.0326, val: psnr=29.9154, 1.5m 3.6h/51.2h
epoch 141/2000, train: loss=0.0322, val: psnr=29.9140, 1.5m 3.6h/51.2h
epoch 142/2000, train: loss=0.0325, val: psnr=29.7235, 1.5m 3.6h/51.2h
epoch 143/2000, train: loss=0.0318, val: psnr=30.3398, 1.5m 3.7h/51.2h
epoch 144/2000, train: loss=0.0323, val: psnr=29.8971, 1.5m 3.7h/51.2h
epoch 145/2000, train: loss=0.0321, val: psnr=30.3413, 1.5m 3.7h/51.2h
epoch 146/2000, train: loss=0.0319, val: psnr=30.3314, 1.5m 3.7h/51.2h
epoch 147/2000, train: loss=0.0322, val: psnr=30.5383, 1.5m 3.8h/51.2h
epoch 148/2000, train: loss=0.0322, val: psnr=30.0402, 1.5m 3.8h/51.2h
epoch 149/2000, train: loss=0.0328, val: psnr=29.9295, 1.5m 3.8h/51.2h
epoch 150/2000, train: loss=0.0320, val: psnr=30.0444, 1.5m 3.8h/51.2h
epoch 151/2000, train: loss=0.0326, val: psnr=30.1710, 1.5m 3.9h/51.2h
epoch 152/2000, train: loss=0.0320, val: psnr=29.9688, 1.5m 3.9h/51.2h
epoch 153/2000, train: loss=0.0320, val: psnr=30.2270, 1.5m 3.9h/51.2h
epoch 154/2000, train: loss=0.0323, val: psnr=30.1123, 1.5m 3.9h/51.2h
epoch 155/2000, train: loss=0.0320, val: psnr=29.8307, 1.5m 4.0h/51.2h
epoch 156/2000, train: loss=0.0323, val: psnr=30.1162, 1.5m 4.0h/51.2h
epoch 157/2000, train: loss=0.0323, val: psnr=29.9561, 1.5m 4.0h/51.2h
epoch 158/2000, train: loss=0.0321, val: psnr=29.8615, 1.5m 4.0h/51.2h
epoch 159/2000, train: loss=0.0328, val: psnr=30.2189, 1.5m 4.1h/51.2h
epoch 160/2000, train: loss=0.0325, val: psnr=30.1149, 1.5m 4.1h/51.2h
